"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","02.01.2023 01:30 - 02.01.2023 01:45 (CET/CEST)","4325","4763","n/e","1698","1969","306","n/e","n/e","27","163","4332","1168","24","n/e","2462","186","103","0","727","1661","19211"
"Germany (DE)","02.01.2023 01:45 - 02.01.2023 02:00 (CET/CEST)","4324","4752","n/e","1701","1971","306","n/e","n/e","27","161","4468","1169","27","n/e","2462","186","103","0","736","1598","19068"
"Germany (DE)","02.01.2023 02:00 - 02.01.2023 02:15 (CET/CEST)","4316","4747","n/e","1716","2015","306","n/e","n/e","27","175","3752","1169","97","n/e","2461","186","103","0","724","1368","20212"
"Germany (DE)","02.01.2023 02:15 - 02.01.2023 02:30 (CET/CEST)","4317","4774","n/e","1712","2019","306","n/e","n/e","27","163","4134","1169","44","n/e","2460","186","103","0","714","1273","21027"
"Germany (DE)","02.01.2023 02:30 - 02.01.2023 02:45 (CET/CEST)","4306","4779","n/e","1711","2012","306","n/e","n/e","27","166","4440","1168","60","n/e","2461","186","103","0","710","1113","21248"
"Germany (DE)","02.01.2023 02:45 - 02.01.2023 03:00 (CET/CEST)","4321","4775","n/e","1717","1998","306","n/e","n/e","27","164","4697","1170","72","n/e","2462","186","103","0","717","981","21460"
"Germany (DE)","02.01.2023 03:00 - 02.01.2023 03:15 (CET/CEST)","4316","4797","n/e","1707","2011","306","n/e","n/e","27","170","4696","1170","97","n/e","2460","186","103","0","716","917","21872"
"Germany (DE)","02.01.2023 03:15 - 02.01.2023 03:30 (CET/CEST)","4326","4817","n/e","1707","2018","306","n/e","n/e","27","183","5188","1168","71","n/e","2461","186","103","0","729","903","22401"
"Germany (DE)","02.01.2023 03:30 - 02.01.2023 03:45 (CET/CEST)","4337","4818","n/e","1701","2026","306","n/e","n/e","28","204","5129","1169","69","n/e","2462","186","103","0","731","799","22892"
"Germany (DE)","02.01.2023 03:45 - 02.01.2023 04:00 (CET/CEST)","4338","4822","n/e","1711","2022","306","n/e","n/e","27","204","5267","1167","76","n/e","2459","186","103","0","734","785","23272"
"Germany (DE)","02.01.2023 04:00 - 02.01.2023 04:15 (CET/CEST)","4351","5122","n/e","1731","2053","306","n/e","n/e","28","172","4553","1170","112","n/e","2459","186","103","0","720","705","24070"
